time,xyz,energy,ediff
1618861586.191918,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.031188607944291      0.056170459367929     -0.130231646822581
C       0.517515681630588     -0.793198699588433      1.048608380881957
H       1.047868724025705     -0.450052771855007      1.947159532915844
C      -0.949491000714738     -0.474277686697499      1.288128371208149
O      -1.857431190382021     -1.262975687800922      1.222024328384306
O      -1.124012384462102      0.816268799379971      1.657018763509241
N       0.685106101033134     -2.221988309849328      0.932493152998443
S       2.856099122449783      0.047153955422421     -0.179048921317782
H       0.691779901288437      1.084129833481592     -0.002556127589946
H       0.634909727617867     -0.327770228270823     -1.078002490422102
H      -1.968660390640319      0.859490194431760      2.133454406681112
H       1.649083619213128     -2.446341601602616      0.707859311113347
H       0.092418086822441     -2.588315834688883      0.194316487691264
H       3.025755540229199      1.343077999905877     -0.472379791951676
",-19641.732209852682,-0.023826483698940137
1618861594.306542,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.060847260678549      0.065803465212958     -0.156721338422721
C       0.506614046616661     -0.768564525929187      1.008676997037626
H       0.933833560087281     -0.360277017593988      1.937634792374797
C      -0.999646545152647     -0.594616897412053      1.192592766862988
O      -1.686259198532529     -1.378989102228217      1.779039066399021
O      -1.518693278264403      0.573274824592788      0.668202489004518
N       0.825693959008302     -2.181055380751714      0.983712669340373
S       2.882286964455865     -0.010784973599421     -0.148241062250643
H       0.734675891477909      1.101583375702478     -0.048218470706475
H       0.684949786685471     -0.322117938485974     -1.110050834211808
H      -1.919479099419671      0.380562755868145     -0.189732375586565
H       1.826559373450239     -2.320748768880801      1.069539106833729
H       0.525717129302114     -2.606400829149153      0.111412945112628
H       3.105920303561869      1.195622519528888     -0.685900957358594
",-19641.12730643704,0.5810769319432438
1618861601.879015,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.101606810977991     -0.000169286708251     -0.090762935377956
C       0.558985796253186     -0.835330022949770      1.081128908279690
H       1.272868514539943     -1.657394908213835      1.265835422205865
C       0.470778214465032     -0.051216303458534      2.383508157124096
O      -0.484869596863439     -0.049246519063181      3.119329773202347
O       1.569740024048373      0.690053104146854      2.628833379983833
N      -0.783625017516749     -1.285480629465505      0.751725656871501
S       2.906538358439636      0.093517287133483     -0.244692209641059
H       0.666455681632466      1.003251124536415     -0.073207904539604
H       0.761374222216161     -0.476411159658964     -1.014355577189255
H       1.332173637154167      1.318671067315812      3.330633138779265
H      -1.276733230562751     -1.534812469650760      1.603482235868453
H      -0.738342247657488     -2.111416424974383      0.164188366158115
H       3.142536579851779      0.675511638711950      0.937861048441625
",-19641.822714484002,-0.11433111501901294
1618861614.063533,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.101613428678803      0.011964765311750     -0.049410014082265
C       0.536190857979823     -0.808000520509473      1.125817315096449
H       0.778532786807075     -1.859219537148134      0.935878163122649
C       1.251218124980213     -0.475417363383596      2.437824717881435
O       2.274897649239877     -0.986079286981409      2.823723146451702
O       0.575115871021183      0.433952415367200      3.178144020601139
N      -0.904832233935839     -0.658809289956904      1.127860236281191
S       2.906340513680250      0.062676738010195     -0.267729166189122
H       0.719839546497843      1.036751666289406      0.036108260937917
H       0.699165345805280     -0.401369906225663     -0.977381404329258
H       0.869187069584997      0.326757380812467      4.097261722216803
H      -1.149725619746501      0.300619955825816      1.357514791639677
H      -1.318707098940170     -1.242014694540785      1.848898649727190
H       3.250837521813827      0.240134003253349      1.014061530036142
",-19641.728019001228,-0.01963563224489917
1618861622.990291,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.121782124364489      0.007241051819627     -0.120170968554727
C       0.597424009138593     -0.799264331173933      1.083856794100662
H       1.149774055954713     -1.753743022535606      1.098265972893480
C       0.859993892961563     -0.170066586972834      2.450469519843917
O       0.016586898596850      0.032715217083927      3.285986529075131
O       2.161126046624902      0.102514294996273      2.663220126088952
N      -0.839516430213813     -0.997073100263951      0.945824229810605
S       2.936493883013858      0.086852140697997     -0.279266784360729
H       0.715672106807710      1.022278204799321     -0.062999030708914
H       0.722977449207194     -0.458149896575029     -1.027939977014270
H       2.201160278504890      0.545184064067967      3.526877471282775
H      -1.097965123280874     -1.905465501234268      1.319793978536334
H      -1.096816346238146     -1.019493885975915     -0.036205300043732
H       2.967620176753625      1.311844739125659     -0.822850080820452
",-19641.47843069486,0.22995267412261455
1618861631.959639,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.151749027126865      0.032681901008978     -0.110466987871725
C       0.568773984315329     -0.713634702863346      1.102826189034326
H       0.836623116604582     -1.775406607295933      0.993353698530547
C       1.193690170670417     -0.368604929485496      2.454316324732416
O       2.328620790937345      0.002005947599026      2.651059211872391
O       0.369857670529188     -0.667591992817616      3.475133230449229
N      -0.879230691641591     -0.641444155488650      1.168837473794382
S       2.947051623329520      0.057773105375693     -0.349554624833231
H       0.770957000489031      1.062520986399413     -0.105515513666299
H       0.754177457671350     -0.443872526227326     -1.013351097464138
H       0.938913008182001     -0.763185766699896      4.256105998307850
H      -1.296074925436000     -1.193150064700452      0.428507150715482
H      -1.207368803170103      0.315691057638722      1.084484681972399
H       3.258953833956867      0.649622374928519      0.809142836611112
",-19641.60019610585,0.10818726313300431
1618861641.833867,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.135545789476014      0.011828178537995     -0.106444878166946
C       0.594820669069532     -0.833639691840899      1.053802694942396
H       1.100083156498076     -1.803134682926370      1.077679730233849
C       0.859198737346427     -0.107742004420543      2.363002280597881
O       0.544936319022012      1.044190951540076      2.547439091611060
O       1.567623122661938     -0.826921699240170      3.254310544425175
N      -0.851505383337835     -1.039650919829252      0.991505806630451
S       2.947623030127333      0.080238399306845     -0.172083609715298
H       0.714170891124087      1.019700617123858     -0.064004413397700
H       0.825260084245899     -0.445725662940216     -1.051750586315099
H       2.025103326438751     -0.195115494657803      3.832428534997748
H      -1.113574656600036     -1.370809707561258      0.067134925100599
H      -1.314827595884551     -0.143018382564629      1.121401699715206
H       3.112798616418839      1.017256078681401      0.773017246360805
",-19641.72258474152,-0.014201372538082069
1618861650.614634,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.105980707810429     -0.003573432594663     -0.070035248815045
C       0.599669047702934     -0.856249826110020      1.100483398696033
H       1.057404422494023     -1.853148500575700      1.044652831777546
C       1.080440428371173     -0.265244580970392      2.414718555799585
O       1.798439369340637     -0.818775219334687      3.209013615645469
O       0.616101099063858      0.987588679180067      2.606367458489791
N      -0.861575186425678     -0.860692848469363      1.058788137334866
S       2.914195371071871      0.096866954715925     -0.189262537142829
H       0.665647088922863      0.993434150006451     -0.013613417178933
H       0.760598305998964     -0.464394857705411     -0.999926002143307
H       0.953019412078537      1.265529669568116      3.474006656933810
H      -1.265246591929445     -1.072266762071557      1.964662308836152
H      -1.186963184986858     -1.560822903191767      0.401079108140619
H       3.069613404136270      1.188304084706916      0.573834083374668
",-19641.74470110805,-0.036317739068181254
1618861657.09291,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.099302142250718      0.007377065609138     -0.072361607535545
C       0.575501875602385     -0.846854076992890      1.095751120089945
H       1.269232022544307     -1.691587652047623      1.235987201267411
C       0.650103669818425     -0.047106460686425      2.390148823501813
O       1.652872790461539      0.479597687891474      2.807741557262992
O      -0.518430528287558      0.000860146150960      3.054895912750462
N      -0.797590677250578     -1.234414189543225      0.796750028801847
S       2.913383538919545      0.087010078928406     -0.178719247986016
H       0.671162327556904      1.011542716647132     -0.037195125817559
H       0.747665121779583     -0.448946479369531     -1.003462342325509
H      -0.371345155485037      0.606252300296537      3.800347685002452
H      -1.168015745491238     -1.816935474395543      1.541502521488857
H      -0.796175767050846     -1.809737833052520     -0.041360777215869
H       3.044113155943564      1.375075179836198      0.162462485682243
",-19641.663944854186,0.04443851479663863
1618861667.532202,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.142981770715696      0.036741814359450     -0.069173750172711
C       0.665092574962049     -0.887607217445431      1.055241104653127
H      -0.359077637827347     -1.180964380074323      0.807056618217368
C       1.452989318372910     -2.183339066183943      1.264333412085304
O       2.617498741150248     -2.387440342886814      1.044645150978533
O       0.628289136922260     -3.164123262624297      1.734143499666623
N       0.614777041305716     -0.132501005905990      2.311320069566503
S       2.910923408672929      0.333399139245929     -0.354739780295281
H       0.626858656125290      0.989703483864641      0.080505459928926
H       0.804901529538300     -0.366344425488777     -1.032234872774322
H       0.914667057310259     -4.004659034721042      1.345241179387776
H       1.533217928113163      0.234655191430767      2.546703069680016
H       0.305120980982152     -0.726384307641615      3.073465849641627
H       3.261496876436541      0.678157357763726      0.893932381314368
",-19641.349287147055,0.35909622192775714
